images	prices	screens	os	front_cams	back_cams	cpus	rams	memories	batteries	urls	companies	release_date
https://cdn.tgdd.vn/Products/Images/42/210644/iphone-11-128gb-black-400x460.png	23.990.000₫	IPS LCD, 6.1", Liquid Retina	iOS 13	12 MP	Chính 12 MP & Phụ 12 MP	Apple A13 Bionic 6 nhân	4 GB	128 GB	3110 mAh, có sạc nhanh	/dtdd/iphone-11-128gb	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/191276/samsung-galaxy-note-10-pink-400x460.png	22.990.000₫	Dynamic AMOLED, 6.3", Full HD+	Android 9.0 (Pie)	10 MP	Chính 12 MP & Phụ 12 MP, 16 MP	Exynos 9825 8 nhân	8 GB	256 GB	3500 mAh, có sạc nhanh	/dtdd/samsung-galaxy-note-10	samsung	08/2019
https://cdn.tgdd.vn/Products/Images/42/154897/samsung-galaxy-note-9-black-400x460-400x460.png	22.990.000₫	Super AMOLED, 6.4", Quad HD+ (2K+)	Android 8.1 (Oreo)	8 MP	Chính 12 MP & Phụ 12 MP	Exynos 9810 8 nhân	6 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-note-9	samsung	08/2018
https://cdn.tgdd.vn/Products/Images/42/179530/samsung-galaxy-s10-plus-black-400x460.png	22.990.000₫	Dynamic AMOLED, 6.4", Quad HD+ (2K+)	Android 9.0 (Pie)	Chính 10 MP & Phụ 8 MP	Chính 12 MP & Phụ 12 MP, 16 MP	Exynos 9820 8 nhân 64-bit	8 GB	128 GB	4100 mAh, có sạc nhanh	/dtdd/samsung-galaxy-s10-plus	samsung	02/2019
https://cdn.tgdd.vn/Products/Images/42/197228/huawei-p30-pro-1-400x460.png	22.990.000₫	OLED, 6.47", Full HD+	Android 9.0 (Pie)	32 MP	Chính 40 MP & Phụ 20 MP, 8 MP, TOF 3D	Kirin 980 8 nhân	8 GB	256 GB	4200 mAh, có sạc nhanh	/dtdd/huawei-p30-pro	huawei	03/2019
https://cdn.tgdd.vn/Products/Images/42/153856/iphone-11-red-2-400x460.png	21.990.000₫	IPS LCD, 6.1", Liquid Retina	iOS 13	12 MP	Chính 12 MP & Phụ 12 MP	Apple A13 Bionic 6 nhân	4 GB	64 GB	3110 mAh, có sạc nhanh	/dtdd/iphone-11	iphone	11/2019
https://cdn.tgdd.vn/Products/Images/42/114115/iphone-x-64gb-2-400x460.png	None	OLED, 5.8", Super Retina	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A11 Bionic 6 nhân	3 GB	64 GB	2716 mAh, có sạc nhanh	/dtdd/iphone-x-64gb	iphone	09/2017
https://cdn.tgdd.vn/Products/Images/42/191483/iphone-xr-128gb-400x460.png	None	IPS LCD, 6.1", Liquid Retina	iOS 12	7 MP	12 MP	Apple A12 Bionic 6 nhân	3 GB	128 GB	2942 mAh, có sạc nhanh	/dtdd/iphone-xr-128gb	iphone	11/2018
https://cdn.tgdd.vn/Products/Images/42/114110/iphone-8-plus-1-400x460.png	15.990.000₫	LED-backlit IPS LCD, 5.5", Retina HD	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A11 Bionic 6 nhân	3 GB	64 GB	2691 mAh, có sạc nhanh	/dtdd/iphone-8-plus	iphone	09/2017
https://cdn.tgdd.vn/Products/Images/42/171028/blackberry-key2-3-400x460.png	15.990.000₫	IPS LCD, 4.5", Full HD	Android 8.1 (Oreo)	8 MP	Chính 12 MP & Phụ 12 MP	Qualcomm Snapdragon 660 8 nhân	6 GB	64 GB	3500 mAh, có sạc nhanh	/dtdd/blackberry-key2	blackberry	11/2018
https://cdn.tgdd.vn/Products/Images/42/201228/samsung-galaxy-a80-gold-400x460.png	14.990.000₫	Super AMOLED, 6.7", Full HD+	Android 9.0 (Pie)	Chính 48 MP & Phụ 8 MP, TOF 3D	Chính 48 MP & Phụ 8 MP, TOF 3D	Snapdragon 730 8 nhân	8 GB	128 GB	3700 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a80	samsung	06/2019
https://cdn.tgdd.vn/Products/Images/42/209798/oppo-reno2-black-mtp1-400x460.png	14.990.000₫	Sunlight AMOLED, 6.55", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 13 MP, 8 MP, 2 MP	Snapdragon 730G 8 nhân	8 GB	256 GB	4000 mAh, có sạc nhanh	/dtdd/oppo-reno2	oppo	10/2019
https://cdn.tgdd.vn/Products/Images/42/78124/apple-iphone-7-plus-1-400x460.png	12.990.000₫	LED-backlit IPS LCD, 5.5", Retina HD	iOS 12	7 MP	Chính 12 MP & Phụ 12 MP	Apple A10 Fusion 4 nhân	3 GB	32 GB	2900 mAh	/dtdd/iphone-7-plus	iphone	11/2016
https://cdn.tgdd.vn/Products/Images/42/200438/oppo-reno-pink-400x460.png	9.990.000₫	AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 5 MP	Snapdragon 710 8 nhân 64-bit	6 GB	256 GB	3765 mAh, có sạc nhanh	/dtdd/oppo-reno	oppo	06/2019
https://cdn.tgdd.vn/Products/Images/42/192003/samsung-galaxy-a9-2018-blue-400x460.png	12.490.000₫	Super AMOLED, 6.3", Full HD+	Android 8.0 (Oreo)	24 MP	Chính 24 MP & Phụ 10 MP, 8 MP, 5 MP	Snapdragon 660 8 nhân	6 GB	128 GB	3800 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a9-2018	samsung	11/2018
https://cdn.tgdd.vn/Products/Images/42/189005/blackberry-key2-le-1-400x460.png	10.990.000₫	IPS LCD, 4.5", Full HD	Android 8.1 (Oreo)	8 MP	Chính 13 MP & Phụ 5 MP	Snapdragon 636 8 nhân	4 GB	64 GB	3000 mAh, có sạc nhanh	/dtdd/blackberry-key2-le	blackberry	11/2018
https://cdn.tgdd.vn/Products/Images/42/74110/iphone-7-gold-400x460.png	9.990.000₫	LED-backlit IPS LCD, 4.7", Retina HD	iOS 12	7 MP	12 MP	Apple A10 Fusion 4 nhân	2 GB	32 GB	1960 mAh	/dtdd/iphone-7	iphone	11/2016
https://cdn.tgdd.vn/Products/Images/42/210243/vivo-v17-pro-blue-noo-400x460.png	9.490.000₫	Super AMOLED, 6.44", Full HD+	Android 9.0 (Pie)	Chính 32 MP & Phụ 8 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 675 8 nhân 64-bit	8 GB	128 GB	4100 mAh, có sạc nhanh	/dtdd/vivo-v17-pro	vivo	10/2019
https://cdn.tgdd.vn/Products/Images/42/195012/samsung-galaxy-a70-white-400x460.png	9.290.000₫	Super AMOLED, 6.7", Full HD+	Android 9.0 (Pie)	32 MP	Chính 32 MP & Phụ 8 MP, 5 MP	Snapdragon 675 8 nhân	6 GB	128 GB	4500 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a70	samsung	04/2019
https://cdn.tgdd.vn/Products/Images/42/209800/oppo-reno2-f-green-mtp-400x460.png	8.990.000₫	AMOLED, 6.5", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	MediaTek Helio P70 8 nhân	8 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/oppo-reno2-f	oppo	10/2019
https://cdn.tgdd.vn/Products/Images/42/209800/oppo-reno2-f-green-mtp-400x460.png	8.990.000₫	AMOLED, 6.5", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP	MediaTek Helio P70 8 nhân	8 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/oppo-reno2-f-xanh-tinh-van	oppo	10/2019
https://cdn.tgdd.vn/Products/Images/42/202703/oppo-f11-pro-128gb-1-400x460.png	7.490.000₫	LTPS LCD, 6.5", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 5 MP	MediaTek Helio P70 8 nhân	6 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/oppo-f11-pro-128gb	oppo	05/2019
https://cdn.tgdd.vn/Products/Images/42/198394/xiaomi-mi-9-se-400x460.png	7.490.000₫	Super AMOLED, 5.97", Full HD+	Android 9.0 (Pie)	20 MP	Chính 48 MP & Phụ 13 MP, 8 MP	Snapdragon 712 8 nhân 64-bit	6 GB	64 GB	3070 mAh, có sạc nhanh	/dtdd/xiaomi-mi-9-se	xiaomi	06/2019
https://cdn.tgdd.vn/Products/Images/42/200294/samsung-galaxy-a50-128gb-blue-400x460.png	7.990.000₫	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	25 MP	Chính 25 MP & Phụ 8 MP, 5 MP	Exynos 9610 8 nhân 64-bit	6 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/samsung-galaxy-a50-128gb	samsung	03/2019
https://cdn.tgdd.vn/Products/Images/42/203053/xiaomi-mi-9t-red-400x460.png	7.990.000₫	AMOLED, 6.39", Full HD+	Android 9.0 (Pie)	20 MP	Chính 48 MP & Phụ 13 MP, 8 MP	Snapdragon 730 8 nhân	6 GB	64 GB	4000 mAh, có sạc nhanh	/dtdd/xiaomi-mi-9t	xiaomi	07/2019
https://cdn.tgdd.vn/Products/Images/42/210241/realme-xt-white-1-400x460.png	7.990.000₫	Super AMOLED, 6.4", Full HD+	Android 9.0 (Pie)	16 MP	Chính 64 MP & Phụ 8 MP, 2 MP, 2 MP	Snapdragon 712 8 nhân	8 GB	128 GB	4000 mAh, có sạc nhanh	/dtdd/realme-xt	realme	11/2019
https://cdn.tgdd.vn/Products/Images/42/194327/samsung-galaxy-a7-2018-128gb-black-400x460.png	7.990.000₫	Super AMOLED, 6.0", Full HD+	Android 8.0 (Oreo)	24 MP	Chính 24 MP & Phụ 8 MP, 5 MP	Exynos 7885 8 nhân 64-bit	6 GB	128 GB	3300 mAh	/dtdd/samsung-galaxy-a7-2018-128gb	samsung	10/2018
https://cdn.tgdd.vn/Products/Images/42/112433/blackberry-keyone-1-400x460.png	7.990.000₫	IPS LCD, 4.5", Full HD	Android 7.1 (Nougat)	8 MP	12 MP	Snapdragon 625 8 nhân 64-bit	4 GB	64 GB	3505 mAh, có sạc nhanh	/dtdd/blackberry-keyone	blackberry	11/2018
https://cdn.tgdd.vn/Products/Images/42/199801/oppo-f11-mtp-400x460.png	6.290.000₫	LTPS LCD, 6.5", Full HD+	Android 9.0 (Pie)	16 MP	Chính 48 MP & Phụ 5 MP	MediaTek Helio P70 8 nhân	6 GB	64 GB	4020 mAh, có sạc nhanh	/dtdd/oppo-f11	oppo	03/2019
